Provider,Model,Path,Input ($/1M tokens),Output ($/1M tokens),Context (tokens),Moderation
Qwen,Qwen-Turbo,qwen/qwen-turbo,,$0.2,"1,000,000",None
Qwen,Qwen-Plus,qwen/qwen-plus,,$1.2,"131,072",None
Qwen,Qwen-Max,qwen/qwen-max,,$6.4,"32,768",None
OpenAI,o3 Mini,openai/o3-mini,,$4.4,"200,000",Moderated
DeepSeek,R1 Distill Qwen 1.5B,deepseek/deepseek-r1-distill-qwen-1.5b,,$0.18,"131,072",None
Mistral,Mistral Small 3,mistralai/mistral-small-24b-instruct-2501,,$0.14,"32,768",None
DeepSeek,R1 Distill Qwen 32B,deepseek/deepseek-r1-distill-qwen-32b,,$0.18,"131,072",None
DeepSeek,R1 Distill Qwen 14B,deepseek/deepseek-r1-distill-qwen-14b,,$1.6,"131,072",None
Perplexity,Sonar Reasoning,perplexity/sonar-reasoning,,$5,"127,000",None
Perplexity,Sonar,perplexity/sonar,,$1,"127,072",None
Liquid,LFM 7B,liquid/lfm-7b,,$0.01,"32,768",None
Liquid,LFM 3B,liquid/lfm-3b,,$0.02,"32,768",None
DeepSeek,R1 Distill Llama 70B (free),deepseek/deepseek-r1-distill-llama-70b:free,,$0,"8,192",None
DeepSeek,R1 Distill Llama 70B,deepseek/deepseek-r1-distill-llama-70b,,$0.69,"131,072",None
Google,Gemini 2.0 Flash Thinking Experimental 01-21 (free),google/gemini-2.0-flash-thinking-exp:free,,$0,"1,048,576",None
DeepSeek,R1 (free),deepseek/deepseek-r1:free,,$0,"163,840",None
DeepSeek,R1,deepseek/deepseek-r1,,$2.4,"16,000",None
DeepSeek,R1 (nitro),deepseek/deepseek-r1:nitro,,$7,"128,000",None
Other,Rogue Rose 103B v0.2 (free),sophosympatheia/rogue-rose-103b-v0.2:free,,$0,"4,096",None
MiniMax,MiniMax-01,minimax/minimax-01,,$1.1,"1,000,192",None
Mistral,Codestral 2501,mistralai/codestral-2501,,$0.9,"256,000",None
Microsoft,Phi 4,microsoft/phi-4,,$0.14,"16,384",None
Sao10K,Llama 3.1 70B Hanami x1,sao10k/l3.1-70b-hanami-x1,,$3,"16,000",None
DeepSeek,DeepSeek V3,deepseek/deepseek-chat,,$0.89,"16,000",None
Qwen,QvQ 72B Preview,qwen/qvq-72b-preview,,$0.5,"128,000",None
Google,Gemini 2.0 Flash Thinking Experimental (free),google/gemini-2.0-flash-thinking-exp-1219:free,,$0,"40,000",None
Sao10K,Llama 3.3 Euryale 70B,sao10k/l3.3-euryale-70b,,$0.8,"131,072",None
OpenAI,o1,openai/o1,,$60,"200,000",Moderated
EVA,Llama 3.33 70b,eva-unit-01/eva-llama-3.33-70b,,$6,"16,384",None
xAI,Grok 2 Vision 1212,x-ai/grok-2-vision-1212,,$10,"32,768",None
xAI,Grok 2 1212,x-ai/grok-2-1212,,$10,"131,072",None
Cohere,Command R7B (12-2024),cohere/command-r7b-12-2024,,$0.15,"128,000",None
Google,Gemini Flash 2.0 Experimental (free),google/gemini-2.0-flash-exp:free,,$0,"1,048,576",None
Google,Gemini Experimental 1206 (free),google/gemini-exp-1206:free,,$0,"2,097,152",None
Meta,Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,,$0.3,"131,072",None
Amazon,Nova Lite 1.0,amazon/nova-lite-v1,,$0.24,"300,000",None
Amazon,Nova Micro 1.0,amazon/nova-micro-v1,,$0.14,"128,000",None
Amazon,Nova Pro 1.0,amazon/nova-pro-v1,,$3.2,"300,000",None
Qwen,QwQ 32B Preview,qwen/qwq-32b-preview,,$0.18,"32,768",None
Google,Gemini Experimental 1121 (free),google/gemini-exp-1121:free,,$0,"40,960",None
Google,LearnLM 1.5 Pro Experimental (free),google/learnlm-1.5-pro-experimental:free,,$0,"40,960",None
EVA,Qwen2.5 72B,eva-unit-01/eva-qwen-2.5-72b,,$6,"16,384",None
OpenAI,GPT-4o (2024-11-20),openai/gpt-4o-2024-11-20,,$10,"128,000",Moderated
Mistral,Large 2411,mistralai/mistral-large-2411,,$6,"128,000",None
Mistral,Large 2407,mistralai/mistral-large-2407,,$6,"128,000",None
Mistral,Pixtral Large 2411,mistralai/pixtral-large-2411,,$6,"128,000",None
xAI,Grok Vision Beta,x-ai/grok-vision-beta,,$15,"8,192",None
Google,Gemini Experimental 1114 (free),google/gemini-exp-1114:free,,$0,"40,960",None
Infermatic,Mistral Nemo Inferor 12B,infermatic/mn-inferor-12b,,$1.2,"16,384",None
Qwen,Qwen2.5 Coder 32B Instruct,qwen/qwen-2.5-coder-32b-instruct,,$0.16,"33,000",None
Raifle,SorcererLM 8x22B,raifle/sorcererlm-8x22b,,$4.5,"16,000",None
EVA,Qwen2.5 32B,eva-unit-01/eva-qwen-2.5-32b,,$3.4,"16,384",None
,Unslopnemo 12b,thedrummer/unslopnemo-12b,,$0.5,"32,000",None
Anthropic,Claude 3.5 Haiku (2024-10-22) (self-moderated),anthropic/claude-3.5-haiku-20241022:beta,,$4,"200,000",None
Anthropic,Claude 3.5 Haiku (2024-10-22),anthropic/claude-3.5-haiku-20241022,,$4,"200,000",Moderated
Anthropic,Claude 3.5 Haiku (self-moderated),anthropic/claude-3.5-haiku:beta,,$4,"200,000",None
Anthropic,Claude 3.5 Haiku,anthropic/claude-3.5-haiku,,$4,"200,000",Moderated
NeverSleep,Lumimaid v0.2 70B,neversleep/llama-3.1-lumimaid-70b,,$4.5,"16,384",None
,Magnum v4 72B,anthracite-org/magnum-v4-72b,,$2.25,"16,384",None
Anthropic,Claude 3.5 Sonnet (self-moderated),anthropic/claude-3.5-sonnet:beta,,$15,"200,000",None
Anthropic,Claude 3.5 Sonnet,anthropic/claude-3.5-sonnet,,$15,"200,000",Moderated
xAI,Grok Beta,x-ai/grok-beta,,$15,"131,072",None
Mistral,Ministral 8B,mistralai/ministral-8b,,$0.1,"128,000",None
Mistral,Ministral 3B,mistralai/ministral-3b,,$0.04,"128,000",None
Qwen,Qwen2.5 7B Instruct,qwen/qwen-2.5-7b-instruct,,$0.05,"32,768",None
NVIDIA,Llama 3.1 Nemotron 70B Instruct (free),nvidia/llama-3.1-nemotron-70b-instruct:free,,$0,"131,072",None
NVIDIA,Llama 3.1 Nemotron 70B Instruct,nvidia/llama-3.1-nemotron-70b-instruct,,$0.3,"131,000",None
Inflection,Inflection 3 Pi,inflection/inflection-3-pi,,$10,"8,000",None
Inflection,Inflection 3 Productivity,inflection/inflection-3-productivity,,$10,"8,000",None
Google,Gemini Flash 1.5 8B,google/gemini-flash-1.5-8b,,$0.15,"1,000,000",None
,Magnum v2 72B,anthracite-org/magnum-v2-72b,,$3,"32,768",None
Liquid,LFM 40B MoE,liquid/lfm-40b,,$0.15,"32,768",None
,Rocinante 12B,thedrummer/rocinante-12b,,$0.5,"32,768",None
Meta,Llama 3.2 3B Instruct (free),meta-llama/llama-3.2-3b-instruct:free,,$0,"4,096",None
Meta,Llama 3.2 3B Instruct,meta-llama/llama-3.2-3b-instruct,,$0.025,"131,000",None
Meta,Llama 3.2 1B Instruct (free),meta-llama/llama-3.2-1b-instruct:free,,$0,"4,096",None
Meta,Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,,$0.01,"131,072",None
Meta,Llama 3.2 90B Vision Instruct (free),meta-llama/llama-3.2-90b-vision-instruct:free,,$0,"4,096",None
Meta,Llama 3.2 90B Vision Instruct,meta-llama/llama-3.2-90b-vision-instruct,,$0.9,"131,072",None
Meta,Llama 3.2 11B Vision Instruct (free),meta-llama/llama-3.2-11b-vision-instruct:free,,$0,"131,072",None
Meta,Llama 3.2 11B Vision Instruct,meta-llama/llama-3.2-11b-vision-instruct,,$0.055,"131,072",None
,Qwen2.5 72B Instruct,qwen/qwen-2.5-72b-instruct,,$0.4,"128,000",None
,Qwen2-VL 72B Instruct,qwen/qwen-2-vl-72b-instruct,,$0.4,"4,096",None
NeverSleep,Lumimaid v0.2 8B,neversleep/llama-3.1-lumimaid-8b,,$1.125,"32,768",None
OpenAI,o1-mini (2024-09-12),openai/o1-mini-2024-09-12,,$4.4,"128,000",Moderated
OpenAI,o1-preview,openai/o1-preview,,$60,"128,000",Moderated
OpenAI,o1-preview (2024-09-12),openai/o1-preview-2024-09-12,,$60,"128,000",Moderated
OpenAI,o1-mini,openai/o1-mini,,$4.4,"128,000",Moderated
Mistral,Pixtral 12B,mistralai/pixtral-12b,,$0.1,"4,096",None
Cohere,Command R (08-2024),cohere/command-r-08-2024,,$0.57,"128,000",None
Cohere,Command R+ (08-2024),cohere/command-r-plus-08-2024,,$9.5,"128,000",None
,Qwen2-VL 7B Instruct,qwen/qwen-2-vl-7b-instruct,,$0.1,"4,096",None
Google,Gemini Flash 1.5 Experimental (free),google/gemini-flash-1.5-exp:free,,$0,"1,000,000",None
Google,Gemini Flash 1.5 Experimental,google/gemini-flash-1.5-exp,,$0,"1,000,000",None
Sao10K,Llama 3.1 Euryale 70B v2.2,sao10k/l3.1-euryale-70b,,$0.8,"131,072",None
Google,Gemini Flash 1.5 8B Experimental,google/gemini-flash-1.5-8b-exp,,$0,"1,000,000",None
AI21,Jamba 1.5 Large,ai21/jamba-1-5-large,,$8,"256,000",None
AI21,Jamba 1.5 Mini,ai21/jamba-1-5-mini,,$0.4,"256,000",None
Microsoft,Phi-3.5 Mini 128K Instruct,microsoft/phi-3.5-mini-128k-instruct,,$0.1,"128,000",None
Nous,Hermes 3 70B Instruct,nousresearch/hermes-3-llama-3.1-70b,,$0.3,"131,000",None
Nous,Hermes 3 405B Instruct,nousresearch/hermes-3-llama-3.1-405b,,$0.8,"131,000",None
Perplexity,Llama 3.1 Sonar 405B Online,perplexity/llama-3.1-sonar-huge-128k-online,,$5,"127,072",None
OpenAI,ChatGPT-4o,openai/chatgpt-4o-latest,,$15,"128,000",Moderated
Sao10K,Llama 3 8B Lunaris,sao10k/l3-lunaris-8b,,$0.06,"8,192",None
Aetherwiing,Starcannon 12B,aetherwiing/mn-starcannon-12b,,$1.2,"16,384",None
OpenAI,GPT-4o (2024-08-06),openai/gpt-4o-2024-08-06,,$10,"128,000",Moderated
Meta,Llama 3.1 405B (base),meta-llama/llama-3.1-405b,,$2,"32,768",None
,Mistral Nemo 12B Celeste,nothingiisreal/mn-celeste-12b,,$1.2,"16,384",None
Perplexity,Llama 3.1 Sonar 8B,perplexity/llama-3.1-sonar-small-128k-chat,,$0.2,"131,072",None
Google,Gemini Pro 1.5 Experimental,google/gemini-pro-1.5-exp,,$0,"1,000,000",None
Perplexity,Llama 3.1 Sonar 70B,perplexity/llama-3.1-sonar-large-128k-chat,,$1,"131,072",None
Perplexity,Llama 3.1 Sonar 70B Online,perplexity/llama-3.1-sonar-large-128k-online,,$1,"127,072",None
Perplexity,Llama 3.1 Sonar 8B Online,perplexity/llama-3.1-sonar-small-128k-online,,$0.2,"127,072",None
Meta,Llama 3.1 405B Instruct (free),meta-llama/llama-3.1-405b-instruct:free,,$0,"8,000",None
Meta,Llama 3.1 405B Instruct,meta-llama/llama-3.1-405b-instruct,,$0.8,"32,768",None
Meta,Llama 3.1 405B Instruct (nitro),meta-llama/llama-3.1-405b-instruct:nitro,,$14.62,"8,000",None
Meta,Llama 3.1 8B Instruct (free),meta-llama/llama-3.1-8b-instruct:free,,$0,"8,192",None
Meta,Llama 3.1 8B Instruct,meta-llama/llama-3.1-8b-instruct,,$0.05,"131,072",None
Meta,Llama 3.1 8B Instruct (nitro),meta-llama/llama-3.1-8b-instruct:nitro,,$0.18,"131,072",None
Meta,Llama 3.1 70B Instruct (free),meta-llama/llama-3.1-70b-instruct:free,,$0,"8,192",None
Meta,Llama 3.1 70B Instruct,meta-llama/llama-3.1-70b-instruct,,$0.3,"131,072",None
Meta,Llama 3.1 70B Instruct (nitro),meta-llama/llama-3.1-70b-instruct:nitro,,$3.25,"64,000",None
Mistral,Mistral Nemo,mistralai/mistral-nemo,,$0.08,"131,072",None
Mistral,Codestral Mamba,mistralai/codestral-mamba,,$0.25,"256,000",None
OpenAI,GPT-4o-mini,openai/gpt-4o-mini,,$0.6,"128,000",Moderated
OpenAI,GPT-4o-mini (2024-07-18),openai/gpt-4o-mini-2024-07-18,,$0.6,"128,000",Moderated
,Qwen 2 7B Instruct (free),qwen/qwen-2-7b-instruct:free,,$0,"8,192",None
,Qwen 2 7B Instruct,qwen/qwen-2-7b-instruct,,$0.054,"32,768",None
Google,Gemma 2 27B,google/gemma-2-27b-it,,$0.27,"8,192",None
,Magnum 72B,alpindale/magnum-72b,,$2.25,"16,384",None
Google,Gemma 2 9B (free),google/gemma-2-9b-it:free,,$0,"8,192",None
Google,Gemma 2 9B,google/gemma-2-9b-it,,$0.06,"8,192",None
01.AI,Yi Large,01-ai/yi-large,,$3,"32,768",None
AI21,Jamba Instruct,ai21/jamba-instruct,,$0.7,"256,000",None
Anthropic,Claude 3.5 Sonnet (2024-06-20) (self-moderated),anthropic/claude-3.5-sonnet-20240620:beta,,$15,"200,000",None
Anthropic,Claude 3.5 Sonnet (2024-06-20),anthropic/claude-3.5-sonnet-20240620,,$15,"200,000",Moderated
Sao10k,Llama 3 Euryale 70B v2.1,sao10k/l3-euryale-70b,,$0.8,"8,192",None
,Dolphin 2.9.2 Mixtral 8x22B,cognitivecomputations/dolphin-mixtral-8x22b,,$0.9,"16,000",None
,Qwen 2 72B Instruct,qwen/qwen-2-72b-instruct,,$0.39,"32,768",None
Mistral,Mistral 7B Instruct (free),mistralai/mistral-7b-instruct:free,,$0,"8,192",None
Mistral,Mistral 7B Instruct,mistralai/mistral-7b-instruct,,$0.055,"32,768",None
Mistral,Mistral 7B Instruct (nitro),mistralai/mistral-7b-instruct:nitro,,$0.07,"32,768",None
Mistral,Mistral 7B Instruct v0.3,mistralai/mistral-7b-instruct-v0.3,,$0.055,"32,768",None
NousResearch,Hermes 2 Pro - Llama-3 8B,nousresearch/hermes-2-pro-llama-3-8b,,$0.04,"131,000",None
Microsoft,Phi-3 Mini 128K Instruct (free),microsoft/phi-3-mini-128k-instruct:free,,$0,"8,192",None
Microsoft,Phi-3 Mini 128K Instruct,microsoft/phi-3-mini-128k-instruct,,$0.1,"128,000",None
Microsoft,Phi-3 Medium 128K Instruct (free),microsoft/phi-3-medium-128k-instruct:free,,$0,"8,192",None
